sample	unit	platform	fq1	fq2
32	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/32_S59_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/32_S59_L002_R2_001.fastq.gz
33	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/33_S67_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/33_S67_L002_R2_001.fastq.gz
33	2	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies_batch2/9373/pool-1/33_S238_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies_batch2/9373/pool-1/33_S238_L002_R2_001.fastq.gz
34	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/34_S75_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/34_S75_L002_R2_001.fastq.gz
35	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/35_S83_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/35_S83_L002_R2_001.fastq.gz
35	2	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies_batch2/9373/pool-1/35_S239_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies_batch2/9373/pool-1/35_S239_L002_R2_001.fastq.gz
36	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/36_S91_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/36_S91_L002_R2_001.fastq.gz
37	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/37_S4_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/37_S4_L002_R2_001.fastq.gz
38	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/38_S12_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/38_S12_L002_R2_001.fastq.gz
39	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/39_S20_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/39_S20_L002_R2_001.fastq.gz
39	2	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies_batch2/9373/pool-1/39_S240_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies_batch2/9373/pool-1/39_S240_L002_R2_001.fastq.gz
40	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/40_S28_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/40_S28_L002_R2_001.fastq.gz
40	2	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies_batch2/9373/pool-1/40_S241_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies_batch2/9373/pool-1/40_S241_L002_R2_001.fastq.gz
41	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/41_S36_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/41_S36_L002_R2_001.fastq.gz
42	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/42_S44_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/42_S44_L002_R2_001.fastq.gz
43	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/43_S52_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/43_S52_L002_R2_001.fastq.gz
43	2	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies_batch2/9373/pool-1/43_S242_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies_batch2/9373/pool-1/43_S242_L002_R2_001.fastq.gz
44	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/44_S60_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/44_S60_L002_R2_001.fastq.gz
45	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/45_S68_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/45_S68_L002_R2_001.fastq.gz
46	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/46_S76_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/46_S76_L002_R2_001.fastq.gz
47	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/47_S84_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/47_S84_L002_R2_001.fastq.gz
47	2	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies_batch2/9373/pool-1/47_S243_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies_batch2/9373/pool-1/47_S243_L002_R2_001.fastq.gz
48	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/48_S92_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/48_S92_L002_R2_001.fastq.gz
49	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/49_S5_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/49_S5_L002_R2_001.fastq.gz
49	2	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies_batch2/9373/pool-1/49_S244_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies_batch2/9373/pool-1/49_S244_L002_R2_001.fastq.gz
50	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/50_S13_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/50_S13_L002_R2_001.fastq.gz
51	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/51_S21_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/51_S21_L002_R2_001.fastq.gz
51	2	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies_batch2/9373/pool-1/51_S245_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies_batch2/9373/pool-1/51_S245_L002_R2_001.fastq.gz
52	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/52_S29_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/52_S29_L002_R2_001.fastq.gz
53	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/53_S37_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/53_S37_L002_R2_001.fastq.gz
54	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/54_S45_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/54_S45_L002_R2_001.fastq.gz
55	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/55_S53_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/55_S53_L002_R2_001.fastq.gz
